Hour,DHI,Wind speed,Temperature
0,0,2.252296448,15.21047574
1,0,2.213562012,14.99006229
2,0,2.293216944,14.75346338
3,0,2.342545748,14.44013165
4,0,2.309824467,14.05064115
5,0,1.42637825,9.28194054
6,0,1.302842855,9.770652898
7,65,1.077746987,13.31390643
8,100,0.694319248,16.48119415
9,125,0.552781582,19.68289429
10,140,0.800041556,21.51473495
11,148,1.042288899,22.56284556
12,149,1.272229314,22.84320911
13,143,1.544843554,22.51318486
14,131,1.807031989,21.61691268
15,110,2.016721725,20.1075149
16,81,2.346024513,17.28756131
17,0,2.666360617,15.15047716
18,0,2.801287413,14.10514837
19,0,2.80163455,13.15927578
20,0,2.735613585,12.28797085
21,0,2.602963448,11.50766122
22,0,2.456270933,10.81541656
23,0,2.329017639,10.22577343
0,0,2.209058523,9.702942428
1,0,2.069228411,9.256069867
2,0,1.929066062,8.880485047
3,0,1.773732662,8.575216391
4,0,1.617445946,8.336899637
5,0,1.464748621,8.168932111
6,0,1.305262208,8.856325206
7,64,1.095757246,12.93113156
8,100,0.917368948,15.75817678
9,126,0.795320094,19.69420008
10,140,0.907851219,22.19856976
11,147,0.76125288,23.28833027
12,148,0.546647668,23.81976379
13,143,0.341009259,23.77095885
14,131,0.550782979,22.98506059
15,110,1.001547575,21.59200704
16,81,1.578821898,18.83941267
17,0,2.14723134,16.63869995
18,0,2.481249094,15.64961914
19,0,2.600675344,14.64122451
20,0,2.664823532,13.68886301
21,0,2.653712988,12.80456385
22,0,2.566829205,12.01355858
23,0,2.451952219,11.36885888
0,0,2.325618982,10.87389005
1,0,2.162930965,10.49100475
2,0,1.95882237,10.15127152
3,0,1.697114944,9.937031245
4,0,1.435674787,9.772047337
5,0,1.181197405,9.714624479
6,0,0.963741362,10.45224442
7,64,0.7626881,14.35006915
8,97,0.559224188,16.88822294
9,123,0.093723908,20.57994032
10,138,0.504641116,23.01995585
11,145,0.673000753,23.95475315
12,146,0.803847194,24.37107966
13,141,0.939123571,24.21072643
14,129,1.098593235,23.52335564
15,108,1.285099506,22.33158436
16,71,1.624527693,19.80771573
17,0,1.991865277,17.80026538
18,0,2.243370533,16.89967328
19,0,2.403898239,16.02257403
20,0,2.373906612,15.16117444
21,0,2.233857632,14.37003773
22,0,2.062250137,13.65366889
23,0,1.895411849,13.05651029
0,0,1.829941034,12.51554188
1,0,1.938422561,11.98542792
2,0,2.169966221,11.47733503
3,0,2.396857738,10.96940959
4,0,2.537933826,10.49044798
5,0,2.576105118,10.13881534
6,0,2.496611834,10.50815138
7,49,2.118052483,13.1084661
8,96,1.867715478,16.2125422
9,122,2.183168411,19.30422221
10,137,2.467440605,21.14059802
11,145,2.648535252,22.20644676
12,146,2.75386405,22.63991431
13,142,2.817811251,22.4953971
14,130,2.817223549,21.82942712
15,109,2.709717035,20.53434352
16,81,2.612384081,18.07641914
17,0,2.717877388,16.11086679
18,0,2.694550276,15.21515574
19,0,2.556394339,14.34663705
20,0,2.318448544,13.50278166
21,0,2.013792753,12.68579433
22,0,1.689522386,11.9216247
23,0,1.45342195,11.21306888
0,0,1.366447687,10.58013469
1,0,1.46746254,10.00555226
2,0,1.854737401,9.4718298
3,0,2.259124756,8.966924692
4,0,2.488688231,8.472708896
5,0,2.530709028,7.980004545
6,0,2.433299065,8.296745727
7,63,1.997410417,11.5316245
8,105,1.485803246,14.9644255
9,126,1.465332508,18.4085031
10,141,1.258117676,20.41812937
11,149,1.101115704,21.81121915
12,150,1.043672681,22.56615038
13,145,1.032690525,22.57017422
14,133,1.222378254,21.78169886
15,112,1.485401988,20.30614652
16,81,1.85476625,17.35365572
17,0,2.179506779,15.1273148
18,0,2.383455038,14.14637019
19,0,2.514433384,13.20941705
20,0,2.504804134,12.30229921
21,0,2.375239134,11.44047353
22,0,2.190560818,10.65450071
23,0,1.976899385,9.983761873
0,0,1.764135242,9.402006478
1,0,1.588213563,8.932566474
2,0,1.450971603,8.510093213
3,0,1.349042296,8.109747743
4,0,1.276604652,7.733779607
5,0,1.242377162,7.374578233
6,0,1.204027057,7.898111746
7,62,1.086871624,11.97098394
8,106,0.837465823,14.9548165
9,127,0.657708466,18.8738513
10,142,0.564567208,21.36070281
11,129,0.585125625,22.55968938
12,150,0.646280825,23.18896673
13,145,0.818069935,23.1354997
14,133,1.009783864,22.36536884
15,124,1.248993993,20.98533235
16,100,1.652825475,18.00676646
17,0,2.064571619,15.68760428
18,0,2.3058815,14.68327722
19,0,2.426483154,13.7270587
20,0,2.521795988,12.85349969
21,0,2.629027843,12.05932444
22,0,2.703947306,11.34192251
23,0,2.669337988,10.72667791
0,0,2.55816102,10.25628513
1,0,2.442879915,9.954398784
2,0,2.217234612,9.729524573
3,0,1.895554662,9.490772151
4,0,1.58270061,9.26650403
5,0,1.370740175,9.044145457
6,0,1.34269464,9.68617357
7,63,1.388362765,13.8338747
8,106,1.275055289,16.58701598
9,126,1.525027156,20.14619184
10,141,1.756511092,22.18964093
11,148,1.693102241,23.25185319
12,149,1.546622396,23.82644444
13,144,1.353706717,23.8432879
14,133,1.11933279,23.2428023
15,112,0.92302978,22.03958196
16,101,0.813934445,19.37818496
17,1,0.770111084,17.10978021
18,0,0.92362231,16.23885615
19,0,1.187564969,15.40981952
20,0,1.583617806,14.61387898
21,0,1.985001683,13.85008077
22,0,2.302092791,13.11824338
23,0,2.553974867,12.43200144
0,0,2.733347416,11.88408318
1,0,2.781089306,11.4248876
2,0,2.57991457,11.00538571
3,0,2.241280317,10.66983616
4,0,1.914290309,10.48853398
5,0,1.643607974,10.36127662
6,0,1.43065536,11.08837666
7,54,1.22423172,15.00969698
8,98,1.044525266,17.92870425
9,124,0.618660271,21.63070165
10,139,0.442147136,23.79457451
11,146,0.406095743,24.89951102
12,147,0.330277681,25.37966055
13,142,0.217384249,25.31658416
14,131,0.2225153,24.66080494
15,110,0.565054595,23.35940904
16,86,1.277226448,21.10105979
17,1,1.899569869,19.51076812
18,0,2.322062969,18.61760259
19,0,2.517270803,17.57141535
20,0,2.568363428,16.34532443
21,0,2.558588266,15.2283538
22,0,2.506032467,14.33060628
23,0,2.41404748,13.56453466
0,0,2.30007863,12.96292558
1,0,2.182963848,12.42786212
2,0,2.012682199,11.96863465
3,0,1.829562783,11.58642542
4,0,1.646122932,11.24721117
5,0,1.493747234,11.00072063
6,0,1.346646309,11.62188929
7,55,1.070013523,14.95389918
8,97,0.874009609,17.93160478
9,123,0.314440995,22.1437717
10,139,0.234945402,24.34287453
11,146,0.519768596,25.21485021
12,148,0.794361413,25.41314282
13,143,1.016074419,25.06690889
14,132,1.100033045,24.24660596
15,111,1.205139995,22.82334326
16,85,1.591309309,20.34283898
17,1,2.029209375,18.19799583
18,0,2.36897707,17.2613084
19,0,2.561548471,16.36157875
20,0,2.646627188,15.47741037
21,0,2.592924356,14.64975077
22,0,2.473059177,13.93986586
23,0,2.310101986,13.34113698
0,0,2.143834591,12.86184012
1,0,1.986092091,12.46778394
2,0,1.766991377,12.11174778
3,0,1.570948958,11.82991677
4,0,1.4643296,11.59357303
5,0,1.406840086,11.38892302
6,0,1.33278203,12.11024655
7,52,1.100777149,15.45985432
8,97,0.979107022,18.40690871
9,123,0.876819134,22.21728708
10,138,1.045857072,24.45098899
11,146,1.200880885,25.26118485
12,147,1.31390512,25.46910902
13,142,1.398024797,25.16717482
14,131,1.473794937,24.33179804
15,111,1.677033067,22.9193001
16,76,2.137689829,20.35804504
17,2,2.602218866,18.34520164
18,0,2.84405303,17.43795617
19,0,2.926633596,16.53790103
20,0,2.915733814,15.6972329
21,0,2.838078976,14.93608566
22,0,2.732349157,14.24923162
23,0,2.59218049,13.6295413
0,0,2.464291096,13.15016981
1,0,2.360136032,12.75370891
2,0,2.12638402,12.4197846
3,0,1.839755774,12.19281178
4,0,1.573087692,12.02673963
5,0,1.34374702,11.92803361
6,0,1.136649728,12.67680591
7,48,0.827590942,16.14363541
8,96,0.682881296,18.95302098
9,122,1.010249734,22.76026451
10,137,1.424831986,24.52571358
11,145,1.63769567,25.31007902
12,146,1.800171971,25.53749705
13,142,1.948209643,25.23021375
14,131,2.004733324,24.42143977
15,111,2.04985857,23.08056924
16,76,2.241147518,20.6120636
17,2,2.536400318,18.83001363
18,0,2.750216484,18.27618899
19,0,2.775593758,17.71383322
20,0,2.692872047,17.08650248
21,0,2.588009834,16.53616151
22,0,2.521962881,16.07334943
23,0,2.470055103,15.66566042
0,0,2.429954767,15.30709962
1,0,2.387892723,15.01706076
2,0,2.245560884,14.86870691
3,0,2.218100071,14.75393259
4,0,2.254951954,14.62205272
5,0,2.262414217,14.42368701
6,0,2.262797356,14.63037647
7,51,2.071429014,15.67992992
8,95,1.960816979,17.1986766
9,165,2.177019835,19.8262139
10,262,2.34066844,21.97730242
11,332,2.377708435,23.42910959
12,243,2.426662683,24.31286727
13,163,2.484695673,24.57408477
14,280,2.442791224,24.19247049
15,110,2.154988766,23.3301673
16,84,2.075199366,21.51537408
17,2,2.310446739,20.10875163
18,0,2.615586281,19.44406035
19,0,2.901779413,18.81562742
20,0,3.134861231,18.15680913
21,0,3.306179762,17.50206891
22,0,3.436673641,16.90728142
23,0,3.562796831,16.5076823
0,0,3.649197578,16.33892875
1,0,3.672384977,16.16478069
2,0,3.610414982,16.03148476
3,0,3.520421743,15.88417599
4,0,3.453479528,15.76309076
5,0,3.377712488,15.68913465
6,0,3.294423342,15.80583279
7,46,3.083321095,16.99103072
8,93,3.075601578,18.80939797
9,242,3.211874723,20.41743848
10,301,3.308988571,22.38626354
11,342,3.343374014,24.39791124
12,209,3.142259121,24.76204187
13,279,2.87577343,24.40567449
14,249,2.735891342,24.14853944
15,197,2.313498497,23.39613281
16,107,1.887830377,21.99946676
17,2,1.686410785,20.32711955
18,0,1.57076478,19.64188923
19,0,1.573553562,18.96890905
20,0,1.723749995,18.32379125
21,0,1.972173572,17.77447671
22,0,2.282478094,17.35108517
23,0,2.586610079,16.85257254
0,0,2.753185272,16.11677721
1,0,2.756749153,15.33786397
2,0,2.594696283,14.69116507
3,0,2.349889278,14.62673889
4,0,2.063420296,14.64067239
5,0,1.988128424,14.24339449
6,0,1.933957815,14.20905826
7,48,1.826484084,14.88889554
8,97,1.94476366,16.2677815
9,124,2.02290678,17.82186561
10,139,2.216348171,19.13616797
11,147,2.336341858,20.98227116
12,148,2.395940304,21.75553174
13,144,2.396542072,22.06711417
14,133,2.434867382,21.56113879
15,114,2.594152689,20.37540901
16,79,2.755405903,18.2741696
17,3,3.027984619,16.29226489
18,0,3.07948494,15.31834843
19,0,2.927835941,14.45646348
20,0,2.733867407,13.69794605
21,0,2.507282734,12.99262836
22,0,2.317458391,12.36322067
23,0,2.261934757,11.81082667
0,0,2.333960533,11.29460494
1,0,2.441903114,10.75270806
2,0,2.366452217,10.42078623
3,0,2.054266691,11.00799907
4,0,1.523023725,11.2856758
5,0,1.270109296,11.01327222
6,0,1.112769961,11.03074324
7,52,0.949024439,12.06107384
8,142,0.957785606,14.16268242
9,173,0.989089668,17.58644106
10,141,0.753115714,21.0095564
11,149,0.462490469,23.1533364
12,150,0.267301857,24.13539518
13,145,0.536455095,24.15153549
14,134,0.969744802,23.37141178
15,115,1.442487001,21.90765305
16,80,2.035361767,19.31577317
17,3,2.510202408,17.03873503
18,0,2.681773901,15.972367
19,0,2.65645504,15.0119385
20,0,2.560023785,14.17176246
21,0,2.453982115,13.46126254
22,0,2.334880114,12.86438119
23,0,2.188736916,12.38712246
0,0,2.045045614,12.04007606
1,0,1.899820924,11.75149395
2,0,1.709158778,11.49219603
3,0,1.523990989,11.21756423
4,0,1.458892345,10.94132343
5,0,1.495370865,10.67283927
6,0,1.526971221,11.37168473
7,54,1.339375973,14.74076701
8,98,1.031104326,18.01879049
9,125,0.471618891,22.3195719
10,140,0.141348049,24.3672438
11,148,0.249527216,25.31006823
12,149,0.512351274,25.58581421
13,145,0.882901311,25.29940956
14,134,1.18587482,24.50199764
15,114,1.458506584,23.14764687
16,80,1.891986966,20.73058452
17,3,2.326034784,18.53138264
18,0,2.564946413,17.55533647
19,0,2.608808517,16.59580863
20,0,2.595366001,15.64939846
21,0,2.493019819,14.77399781
22,0,2.316217422,13.97605313
23,0,2.140326977,13.31034267
0,0,2.029356718,12.73020676
1,0,1.987425208,12.22649764
2,0,1.977438807,11.7773376
3,0,1.950689912,11.34715329
4,0,1.989407301,10.95933492
5,0,2.057367325,10.6370855
6,0,2.057498455,11.23762287
7,49,1.740416288,14.25702113
8,98,1.330479503,17.89948607
9,124,1.007565022,21.89608267
10,140,0.532859802,24.06203242
11,147,0.188534036,25.22315387
12,149,0.204303503,25.67984349
13,261,0.287646353,25.49561027
14,133,0.697937965,24.61026911
15,114,0.859663785,23.21494072
16,80,1.366239548,21.25620546
17,3,1.974443197,19.69282779
18,0,2.304388762,18.86901549
19,0,2.423832655,18.03148859
20,0,2.383446217,17.1036118
21,0,2.273769617,16.18710486
22,0,2.118330479,15.44270363
23,0,1.999046445,14.85931865
